2025-08-15 00:15:27.641 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:33.644 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:39.660 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:45.661 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:51.672 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:57.701 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:15:58.318 | ERROR    | project_demo.app_web.AppWeb:controller:48 - [WinError 10048] 通常每个套接字地址(协议/网络地址/端口)只允许使用一次。
2025-08-15 00:16:03.702 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:09.704 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:15.709 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:21.727 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:27.739 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:33.762 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:39.764 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:45.766 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:51.766 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:16:57.781 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:03.795 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:09.800 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:15.816 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:21.812 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:27.818 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:33.840 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:34.311 | ERROR    | project_demo.app_web.AppWeb:controller:48 - [WinError 10048] 通常每个套接字地址(协议/网络地址/端口)只允许使用一次。
2025-08-15 00:17:39.835 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:45.849 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:17:51.876 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:23:35.116 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
2025-08-15 00:23:41.127 | INFO     | project_demo.app_web.AppWeb:async_task:44 - async_task
